SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR7701121	PRJNA486259	Burned	194	194.2	4.72055294	0.896104792	0.093153527	2.061350828	16.32722365	0.073604632
SRR7701122	PRJNA486259	Burned	203	204.5	4.950264428	0.931690668	0.035877248	2.061423036	15.00691558	0.062484865
SRR7701123	PRJNA486259	Burned	166	166	4.650384982	0.909701896	0.055586623	2.061221818	12.89497753	0.071738061
SRR7701124	PRJNA486259	Burned	210	211.5	4.978008765	0.930972257	0.036880233	2.061423036	13.97539345	0.07035101
SRR7701125	PRJNA486259	Burned	139	139	4.637119644	0.939739414	0.050078084	2.061351774	13.00770911	0.075800744
SRR7701126	PRJNA486259	Burned	201	204	4.99905812	0.942630719	0.033958033	2.061423036	14.73335267	0.062669009
SRR9206619	PRJNA546006	Unburned	51	51	3.691978694	0.938998582	0.061163161	2.061423036	7.944986689	0.117030402
SRR9206623	PRJNA546006	Unburned	28	28	3.066357402	0.92021885	0.104541	2.061423036	5.219036842	0.204020122
SRR9206628	PRJNA546006	Unburned	72	72	3.898080145	0.911476378	0.059610706	2.058916398	10.04373706	0.094229711
SRR9206630	PRJNA546006	Unburned	111	111	4.280384621	0.9088772	0.096115712	2.061311005	16.67728557	0.203901618
